step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
66,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.7183,0.7183,"('D', 'C')",5.0,0,,,,
67,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.7147,0.7147,"('D', 'D')",2.0,0,,,,
68,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7112,0.7112,"('C', 'D')",5.0,0,,,,
69,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7076,0.7076,"('C', 'C')",6.0,1,,,,
70,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7041,0.7041,"('C', 'D')",5.0,0,,,,
71,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.7005,0.7005,"('D', 'C')",5.0,0,,,,
72,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.697,0.697,"('D', 'C')",5.0,0,,,,
73,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.6936,0.6936,"('D', 'C')",5.0,0,,,,
74,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.6901,0.6901,"('D', 'C')",5.0,0,,,,
75,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.6866,0.6866,"('D', 'D')",2.0,0,,,,
76,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6832,0.6832,"('C', 'D')",5.0,0,,,,
77,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6798,0.6798,"('C', 'D')",5.0,0,,,,
78,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6764,0.6764,"('C', 'C')",6.0,1,,,,
79,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.673,0.673,"('D', 'C')",5.0,0,,,,
80,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6696,0.6696,"('C', 'C')",6.0,1,,,,
81,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6663,0.6663,"('C', 'D')",5.0,0,,,,
82,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.663,0.663,"('C', 'D')",5.0,0,,,,
83,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6597,0.6597,"('C', 'D')",5.0,0,,,,
84,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6564,0.6564,"('C', 'D')",5.0,0,,,,
85,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6531,0.6531,"('C', 'D')",5.0,0,,,,
86,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6498,0.6498,"('C', 'D')",5.0,0,,,,
87,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.6466,0.6466,"('D', 'C')",5.0,0,,,,
88,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.6433,0.6433,"('D', 'C')",5.0,0,,,,
89,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.6401,0.6401,"('D', 'D')",2.0,0,,,,
90,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.6369,0.6369,"('D', 'D')",2.0,0,,,,
91,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6337,0.6337,"('C', 'C')",6.0,1,,,,
92,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.6306,0.6306,"('D', 'C')",5.0,0,,,,
93,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.6274,0.6274,"('D', 'D')",2.0,0,,,,
94,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6243,0.6243,"('C', 'D')",5.0,0,,,,
95,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6211,0.6211,"('C', 'D')",5.0,0,,,,
96,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.618,0.618,"('D', 'D')",2.0,0,,,,
97,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6149,0.6149,"('C', 'C')",6.0,1,,,,
98,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.6119,0.6119,"('C', 'D')",5.0,0,,,,
99,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6088,0.6088,"('C', 'C')",6.0,1,,,,
100,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.6058,0.6058,"('D', 'D')",2.0,0,0.24,4.64,,
101,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.6027,0.6027,"('C', 'C')",6.0,1,0.24,4.64,,
102,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5997,0.5997,"('C', 'D')",5.0,0,0.24,4.64,,
103,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5967,0.5967,"('C', 'D')",5.0,0,0.23,4.63,,
104,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5937,0.5937,"('C', 'D')",5.0,0,0.23,4.63,,
105,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5908,0.5908,"('D', 'D')",2.0,0,0.23,4.6,,
106,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5878,0.5878,"('D', 'C')",5.0,0,0.23,4.6,,
107,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5849,0.5849,"('D', 'D')",2.0,0,0.22,4.56,,
108,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.582,0.582,"('D', 'D')",2.0,0,0.22,4.53,,
109,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.579,0.579,"('D', 'C')",5.0,0,0.22,4.53,,
110,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5762,0.5762,"('D', 'D')",2.0,0,0.22,4.5,,
111,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5733,0.5733,"('D', 'D')",2.0,0,0.22,4.47,,
112,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.5704,0.5704,"('C', 'C')",6.0,1,0.23,4.51,,
113,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5676,0.5676,"('D', 'D')",2.0,0,0.23,4.48,,
114,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5647,0.5647,"('C', 'D')",5.0,0,0.22,4.47,,
115,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5619,0.5619,"('D', 'D')",2.0,0,0.22,4.44,,
116,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5591,0.5591,"('C', 'D')",5.0,0,0.22,4.47,,
117,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5563,0.5563,"('C', 'D')",5.0,0,0.21,4.46,,
118,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5535,0.5535,"('C', 'D')",5.0,0,0.2,4.45,,
119,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5507,0.5507,"('C', 'D')",5.0,0,0.2,4.48,,
120,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.548,0.548,"('C', 'C')",6.0,1,0.21,4.52,,
121,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5452,0.5452,"('D', 'D')",2.0,0,0.21,4.52,,
122,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.5425,0.5425,"('C', 'C')",6.0,1,0.22,4.53,,
123,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5398,0.5398,"('D', 'C')",5.0,0,0.21,4.52,,
124,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5371,0.5371,"('D', 'C')",5.0,0,0.2,4.51,,
125,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5344,0.5344,"('D', 'D')",2.0,0,0.2,4.48,,
126,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5318,0.5318,"('D', 'C')",5.0,0,0.2,4.48,,
127,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5291,0.5291,"('D', 'C')",5.0,0,0.2,4.48,,
128,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.5264,0.5264,"('C', 'C')",6.0,1,0.21,4.52,,
129,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5238,0.5238,"('C', 'D')",5.0,0,0.21,4.55,,
130,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5212,0.5212,"('C', 'D')",5.0,0,0.2,4.54,,
131,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.5186,0.5186,"('C', 'C')",6.0,1,0.21,4.55,,
132,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.516,0.516,"('D', 'C')",5.0,0,0.2,4.54,,
133,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5134,0.5134,"('D', 'C')",5.0,0,0.2,4.54,,
134,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5108,0.5108,"('D', 'C')",5.0,0,0.2,4.54,,
135,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.5083,0.5083,"('D', 'D')",2.0,0,0.2,4.51,,
136,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.5058,0.5058,"('C', 'D')",5.0,0,0.2,4.51,,
137,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.5032,0.5032,"('C', 'C')",6.0,1,0.21,4.52,,
138,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.5007,0.5007,"('D', 'C')",5.0,0,0.2,4.51,,
139,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.4982,0.4982,"('D', 'C')",5.0,0,0.2,4.54,,
140,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4957,0.4957,"('C', 'D')",5.0,0,0.2,4.54,,
141,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4932,0.4932,"('C', 'D')",5.0,0,0.2,4.57,,
142,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4908,0.4908,"('C', 'D')",5.0,0,0.2,4.57,,
143,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4883,0.4883,"('C', 'D')",5.0,0,0.2,4.6,,
144,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4859,0.4859,"('C', 'D')",5.0,0,0.2,4.63,,
145,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4834,0.4834,"('C', 'D')",5.0,0,0.19,4.62,,
146,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.481,0.481,"('C', 'C')",6.0,1,0.19,4.62,,
147,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4786,0.4786,"('D', 'D')",2.0,0,0.19,4.59,,
148,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4762,0.4762,"('C', 'D')",5.0,0,0.19,4.59,,
149,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4738,0.4738,"('C', 'C')",6.0,1,0.2,4.6,,
150,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4715,0.4715,"('D', 'D')",2.0,0,0.2,4.57,,
151,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.4691,0.4691,"('D', 'C')",5.0,0,0.2,4.57,,
152,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.4668,0.4668,"('D', 'C')",5.0,0,0.2,4.57,,
153,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4644,0.4644,"('D', 'D')",2.0,0,0.2,4.54,,
154,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4621,0.4621,"('C', 'D')",5.0,0,0.19,4.53,,
155,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4598,0.4598,"('C', 'C')",6.0,1,0.2,4.57,,
156,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4575,0.4575,"('D', 'D')",2.0,0,0.19,4.53,,
157,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4552,0.4552,"('C', 'C')",6.0,1,0.2,4.57,,
158,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4529,0.4529,"('C', 'C')",6.0,1,0.21,4.58,,
159,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4507,0.4507,"('D', 'D')",2.0,0,0.21,4.55,,
160,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4484,0.4484,"('C', 'C')",6.0,1,0.21,4.55,,
161,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.4462,0.4462,"('D', 'C')",5.0,0,0.2,4.54,,
162,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.444,0.444,"('D', 'D')",2.0,0,0.2,4.51,,
163,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4417,0.4417,"('C', 'D')",5.0,0,0.2,4.51,,
164,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4395,0.4395,"('C', 'D')",5.0,0,0.2,4.51,,
165,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4373,0.4373,"('C', 'D')",5.0,0,0.19,4.5,,
166,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4351,0.4351,"('D', 'D')",2.0,0,0.19,4.47,,
167,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.433,0.433,"('C', 'D')",5.0,0,0.19,4.5,,
168,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4308,0.4308,"('C', 'C')",6.0,1,0.2,4.51,,
169,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4286,0.4286,"('C', 'D')",5.0,0,0.19,4.5,,
170,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4265,0.4265,"('C', 'D')",5.0,0,0.19,4.5,,
171,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4244,0.4244,"('C', 'D')",5.0,0,0.19,4.5,,
172,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.4223,0.4223,"('D', 'C')",5.0,0,0.19,4.5,,
173,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4201,0.4201,"('C', 'D')",5.0,0,0.19,4.5,,
174,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.418,0.418,"('C', 'D')",5.0,0,0.19,4.5,,
175,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4159,0.4159,"('D', 'D')",2.0,0,0.19,4.5,,
176,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4139,0.4139,"('C', 'C')",6.0,1,0.2,4.51,,
177,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4118,0.4118,"('D', 'D')",2.0,0,0.2,4.48,,
178,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.4097,0.4097,"('C', 'D')",5.0,0,0.19,4.47,,
179,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.4077,0.4077,"('C', 'C')",6.0,1,0.2,4.48,,
180,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4057,0.4057,"('D', 'D')",2.0,0,0.19,4.44,,
181,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4036,0.4036,"('D', 'D')",2.0,0,0.19,4.41,,
182,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.4016,0.4016,"('D', 'D')",2.0,0,0.19,4.38,,
183,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.3996,0.3996,"('D', 'D')",2.0,0,0.19,4.35,,
184,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3976,0.3976,"('C', 'D')",5.0,0,0.19,4.35,,
185,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3956,0.3956,"('C', 'D')",5.0,0,0.19,4.35,,
186,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.3936,0.3936,"('D', 'C')",5.0,0,0.19,4.35,,
187,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3917,0.3917,"('C', 'D')",5.0,0,0.19,4.35,,
188,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3897,0.3897,"('C', 'D')",5.0,0,0.19,4.35,,
189,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3878,0.3878,"('C', 'D')",5.0,0,0.19,4.38,,
190,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3858,0.3858,"('C', 'D')",5.0,0,0.19,4.41,,
191,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.3839,0.3839,"('C', 'C')",6.0,1,0.19,4.41,,
192,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.382,0.382,"('D', 'C')",5.0,0,0.19,4.41,,
193,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.3801,0.3801,"('D', 'D')",2.0,0,0.19,4.41,,
194,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3782,0.3782,"('C', 'D')",5.0,0,0.19,4.41,,
195,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.3763,0.3763,"('C', 'D')",5.0,0,0.19,4.41,,
196,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.3744,0.3744,"('C', 'C')",6.0,1,0.2,4.45,,
197,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.3725,0.3725,"('D', 'D')",2.0,0,0.19,4.41,,
